name,Owner,CardText,Mana,Notes,quantity,Rarity
Flurry of Blows,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Deal 1 damage to all enemies for each card you have played this turn,0,could see this costing 0 or 1,3,Rare
Supernova,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Consume all orbs from target companion. Gain 1 energy and draw 1 card from their deck for each orb consumed this way.,1,,3,Rare
Eat Nails,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Give a companion 5 block. Shuffle 2 Ironskin into this companion’s deck
Ironskin: 1 mana exhaust this companion gains 3 block",1,,3,Starting Deck
Fire Eating,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Shuffle 3 Heartburns into this companion’s deck that say “1 mana Exhaust. When exhausted, deal 6 damage to a random enemy”.",1,,3,Starting Deck
Pocket Sand,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),Give all companions on your team 3 block. Shuffle 2 Ironskin into this companion’s deck,1,,3,Common
Protecting Aura,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),Consume one orb from this companion. Give a companion 10 block.,0,,3,Common
Scry the Stomach,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Shuffle 1 Heartburn into this companion’s deck, then scry 3",1,,3,Common
Smash and Dash,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Deal 8 damage, gain 8 block",2,,3,Uncommon
Puff the Chest,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Gain 2 energy. Add a Nasty Cigarette on top of this companion’s deck
Nasty Cigarette: 1 mana exhaust, when exhausted this companion loses 3HP",0,,3,Uncommon
Bigger the Better,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Give a companion 6 block. If this Clown has more than 10 cards in its deck and discard, give the companion 12 block instead",1,,3,Uncommon
Fire Away,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Ch1 (costs 1): Put a Ironskin status card on top of the companions deck
Ch2 (costs 0): Shuffle 3 heart burn into this companions deck
Ch3 (costs 1): Exhaust all status cards in this companion’s deck and discard pile. Deal 4 damage to all enemies for each card exhausted this way ",1,Do we have a block when exhausted status card?,3,Rare
Double Heartburn,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),Shuffle 2 heartburn into this companion’s deck. Double the damage of all heartburns in this companion’s deck and discard.,1,"(ethan: a y o, did someone say accuracy an fire breathing had a baby. this is cool man big fan)",3,Rare
Self-Sharpening Blade,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),Deal 3 damage. Increase the damage of ALL self-sharpening blade cards by 3 this combat,1,,3,Starting Deck
Cauterize,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),Give a companion 5 block and exhaust the top card of their deck.,1,,3,Starting Deck
Bellows,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),"Draw 2 cards, choose 1 card in your hand to exhaust",1,,3,Starting Deck
All out attack,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),deal 7 damage to all enemies. Exhaust 1 random card from your hand.,1,,3,Common
Orbs to Swords,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),conjure 1 self sharpening blade to your hand for each orb on this companion,1,,3,Common
Better Bellows,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),"Draw 3 cards, choose 1 card in your hand to exhaust",1,(ethan: love the name lol),3,Common
Kindling,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),"Exhaust a card, gain 1 energy.",0,,3,Common
Inferno,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),Exhaust all non-attack cards from your hand. Deal 4 damage to all enemies for each card exhausted this way.,2,,3,Uncommon
Burning Mill,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),Draw a card from each companion on your team. Choose 1 card in your hand to exhaust,1,(ethan: yoooo we really out here with a 1 mana draw 5 lesgo),3,Uncommon
Iron Forge,Entropy (https://www.notion.so/Entropy-8346c3a472b843c19edfa99c4b679023?pvs=21),"Ch1 (costs 0): Exhaust two target cards in hand. Conjure a self-sharpening blade into hand.
Ch2…N (costs 0): Conjure a self-sharpening blade into your hand, it costs 0 this turn",,(ethan: maybe self-sharpening blade could just be claw all the time yknow),3,Rare
Simple Scry,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Scry 1,0,,3,Starting Deck
Draw,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Draw 2 cards,1,,3,Starting Deck
Bigger Draw,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Draw 3 cards,1,,3,Common
Live to see another day,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Give target companion 6 block. Gain 1 additional energy next turn,1,,3,Common
Superior Scry,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Scry 3,0,,3,Common
Brainstorm,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Deal 1 damage for each card in your hand,1,,3,Common
Embue with Rage,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),"The next attack card you play deals double damage. ",0,,3,Uncommon
Identify weakness,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),"If an enemy intends to attack, give all units X strength for each orb they have.",1,"Should change the condition, enemy attack may not work how we want.",3,Uncommon
Meditate,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Draw a card. Gain 1 energy for each orb on this unit,1,,3,Uncommon
Con Artist,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),"Ch1 (costs 0): gain 2 energy
Ch2 (costs 1): draw 3 discard 3
Ch3…N (costs 1): deal n * hand size damage",,,3,Uncommon
Brilliant Mind,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Deal 4 damage plus 4 additional damage for each time you shuffle a companion’s deck this combat,1,"Shuffling deck is more generalized ",3,Rare
Even More Demonic Tutor,Pythia (https://www.notion.so/Pythia-b936ffecdc784229b6a2706c0b0a1251?pvs=21),Put a card from a companion’s draw pile into your hand.,0,,3,Rare
